25;Какие из указанных ниже предметов не допускается хранить в помещении стерилизационного отделения (кабинета)?;А. Предметы, не используемые в процессе стерилизации.;Б. Предметы, не допускающие очистку влажным способом.;В. Металлические предметы, образующие искры при ударе о твердую поверхность.;Г. Предметы из горючих материалов.;1
26;Чем из указанного ниже должно быть оборудовано помещение стерилизационного отделения в организации здравоохранения? а – телефонной связью. б – аварийным освещением. в – переносным аккумуляторным фонарем.;А. а, б, в;Б. б, в;В. а, б;Г. а, в;1
27;Допуск персонала к эксплуатации медицинских стерилизаторов оформляется приказом с указанием…;А. …структурного подразделения, типа и модели стерилизаторов.;Б. … параметров рабочей среди и режимов стерилизаторов.;В. …срока действия допуска.;Г. … типа и модели стерилизаторов, параметров рабочей среди и режимов.;1
28;Какие из указанных ниже процедур по охране труда должен пройти персонал для допуска к самостоятельной работе по эксплуатации стерилизаторов медицинских при перерыве в работе по эксплуатации стерилизаторов более 12 месяцев?;А. Только проверку знаний по охране труда.;Б. Только стажировку по сокращенной программе ( не менее 2 рабочих смен).;В. Только собеседование.;Г. Стажировку продолжительностью не менее 4 рабочих смен и проверку знаний по охране труда.;4
29;Повышение квалификации в учрежденияхдополнительного образования взрослых персонала, допущенного к эксплуатации стерилизаторов медицинских, проводится не реже…;А. …1 раза в 8 лет.;Б. … 1 раза в 5лет.;В. … 1 раза в 10 лет.;Г. …1 раза в 3 года.;2
30;Сколько лиц, ответственных за безопасную эксплуатацию стерилизаторов , должно быть назначено приказом в организации, осуществляющей эксплуатацию стерилизаторов медицинских?;А. По количеству стерилизаторов (длякаждого стерилизатора).;Б. По количеству структурных подразделений, эксплуатирующих стерилизаторы (для каждого такого структурного подразделения).;В. Одно лицо.;Г. Не регламентируется.;2
31;Как часто ответственные лица и работники, заменяющие лицо, ответственное за безопасную эксплуатацию стерилизаторов, должны проходить проверку знаний?;А. Не реже 1 раза в 5 лет.;Б. Не реже 1 раза в 2 года.;В. Не реже 1 раза в 3 года.;Г. Не реже 1 раза в год.;3
32;Куда вносятся номер и дата приказа о назначении лица, ответственного за безопасную эксплуатацию стерилизаторов?;А. На входную дверь помещения, в котором установлены стерилизаторы. ;Б. В паспорт стерилизатора.;В. На табличку, закрепленную на стерилизаторе или на корпус стерилизатора.;Г. На табличку на стене в помещения, в котором установлены стерилизаторы. ;2
33;Что из указанного ниже осуществляет лицо. Ответственное за безопасную эксплуатацию стерилизаторов медицинских? а – осуществляет контроль за выполнением персоналом эксплуатационной документации, технологической документации, требований ТКП 584-2016 и других документов,  б – выполняет записи в журнале учетанеисправностей стерилизаторов, в – обеспечивает проведение периодического контроля за соблюдением законодательства об охране труда, г – организовывает работу по исправлению неисправностей стерилизаторов, нарушений требований ТКП 584-2016, инструкций по охране труда, эксплуатационной документации, технологических регламентов.;А. а, в;Б. б, в, г;В. а, б, в, г;Г. а, б;3
34;Кто в организации, осуществляющей эксплуатацию стерилизаторов медицинских, обеспечивает обучение, стажировку, проверку знаний по вопросам охраны труда персонала, эксплуатирующего стерилизаторы?;А. Лицо, ответственное за безопасную эксплуатацию стерилизаторов.;Б. Лицо, ответственное за техническое состояние стерилизаторов.;В. Специалист по охране труда.;Г. Специалист службы подготовки кадров.;1
35;Какой документ составляется по результатам работы комиссии, проводящей проверку готовности к работе стерилизационного отделения (кабинета) при вводе его в эксплуатацию?;А. Технический отчет.;Б. Заключение о готовности к эксплуатации стерилизационного отделения (кабинета).;В. Акт проверки готовности к эксплуатации стерилизационного отделения (кабинета).;Г. Проект приказа об открытии стерилизационного отделения (кабинета).;3
36;Кто из назначенных приказом членов комиссии подписывает акт проверки готовности к эксплуатации стерилизационного отделения (кабинета) при вводе его в эксплуатацию?;А. Все члены комиссии, присутствующие на момент составления акта.;Б. Не менее 23 членов комиссии. ;В. Все члены комиссии, согласные с содержанием акта. ;Г. Все члены комиссии.;4
37;Кто выполняет записи в журнале учета неисправностей стерилизаторов?;А. Лицо, ответственное за безопасную эксплуатацию стерилизаторов.;Б. Технический персонал. ;В. Все лица, указанные в других вариантах ответа.;Г. Персонал, эксплуатирующий стерилизаторы. ;3
38;В стерилизационном отделении должен быть оборудован стенд или иметься отдельная папка, находящаяся в месте, доступном для работников отделения. Какая информация должна обязательно содержаться на стенде (папке)? а -список ответственных лиц стерилизационного отделения с указанием сроков очередной проверки знаний, повышения квалификации и др.  б – список персонала, имеющего допуск к самостоятельной работе со стерилизаторами, с указанием сроков очередной проверки знаний по вопросам охраны труда. в – выписка из руководства по эксплуатации стерилизаторов и мерам безопасности при их эксплуатации и обслуживанию. ;А. а, в;Б. б, в;В. а, б, в;Г. а, б;3
39;После проведения технического освидетельствования стерилизатора на нем устанавливается табличка с указанием…;А. …всего, что указано в других вариантах ответа.;Б. …сведений о лице, ответственном за безопасную эксплуатацию.;В. …числа, месяца и года следующего технического освидетельствования.;Г. …разрешенных параметров работы.;3
40;Какой вид работ проводится перед пуском в работу медицинского стерилизатора, не бывшего в эксплуатации и гарантийный срок которого истек?;А. Средний ремонт.;Б. Расконсервация и пробная эксплуатация (контрольный цикл).;В. Техническое диагностирование. ;Г. Внеочередное техническое освидетельствование.;4
41;Допускается ли при проведении работ по гидравлическим испытаниям стерилизаторов медицинских находится в помещении, в котором установлены стерилизаторы, лицам, не участвующим в гидравлических испытаниях?;А. Допускается при проведении с ними целевого инструктажа по дополнительным мерам безопасности под роспись.;Б. Допускается при использовании этими лицами средств индивидуальной защиты в объеме, предъявляемом к участникам испытаний. ;В. Допускается на расстоянии не менее 5 метров от испытуемого стерилизатора. ;Г. Не допускается.;4
42;Что из указанного ниже обязанпроверить перед началом работы на стерилизаторе персонал, выполняющий работы по стерилизации? а – проверить наличие или отсутствие видимых повреждений (целостности) защитного заземления (зануления) корпуса стерилизатора, наличие электроизолирующего ковра перед стерилизатором и вводным устройством. б – проверить исправность предохранительного клапана в соответствии с документацией по эксплуатации стерилизатора (при наличии предохранительного клапана), наличие и целостность пломбы на клапане, проверить состояние элементов управления стерилизатора. в – проверить целостность уплотнения на дверях или крышке стерилизационной камеры.;А. а, б, в;Б. б, в;В. а, б;Г. а, в;1
43;Допускается ли работа медицинского стерилизатора без защитного заземления (зануления)?;А. Допускается при использовании персоналом электроизолирующих перчаток.;Б. допускается при наличии электроизолирующего ковра перед стерилизатором. ;В. Не допускается. ;Г. Допускается при электропитании стерилизатора через УЗО с дифференциальным током срабатывания 30 мА или через разделительный трансформатор. ;3
44;Где необходимо хранить спички, зажигалки и другие источники воспламенения, а также источники статических зарядов, при стерилизации веществами, являющимися сильными окислителями (перекись водорода, перуксусная кислота,оксид этилена и др.) и создающими угрозу воспламенения и взрыва?;А. В закрытых и застегнутых сумках, портфелях, барсетках, косметичках.;Б. В застегнутых застежкой «молнией» внутренних карманах одежды.;В. В любом из мест, указанных в других вариантах ответа.;Г. Вне помещений, в которых находятся такие стерилизаторы и картриджи с этими веществами.;4
45;На какие стерилизаторы распространяется действие ТКП 584-2016 (33050)?;А. На стерилизаторы, которые по своему устройству, назначению, области применения и условиям эксплуатации относятся к технологическому оборудованию, предназначенному для стерилизации изделий медицинского назначения в процессе их производства; Б. На стерилизаторы (автоклавы), которые не подлежат регистрации в Госпромнадзоре. ;В. На медицинские стерилизаторы (кроме стерилизаторов воздушных), разрешенные Министерством здравоохранения Республики Беларусь к применению в организацияхздравоохранения. ;Г. На все стерилизаторы, указанные в других вариантах ответа. ;3
46;Каким из указанных ниже требований должны отвечать покрытия полов в помещении стерилизационного отделения (кабинета) организации здравоохранения?  а – монолитность, герметичность. б – устойчивость к влажной уборке. в – электропроводимость, исключающая накопление зарядов статического электричества. ;А. б, в.;Б. а, в. ;В. а, б, в.;Г. а, б.;4
47;Допускается ли загромождать помещения стерилизационного отделения (кабинета) посторонними предметами?;А. Допускается, по согласованию с местным органом пожарного надзора. ;Б. Допускается, если это не мешает проведению стерилизации, а также эвакуации людей и имущества при пожаре. ;В. Допускается, если загромождение при возникновении необходимости можно разобрать за короткое время. ;Г. Не допускается. ;4
48;Сколько эвакуационных выходов должно быть из помещения, в котором расположены медицинские стерилизаторы, за исключением помещений, где допускается один выход, в соответствии с требованиями ТКП 45-202-279-2013?;А. Не регламентируется. ;Б. Не менее одного на каждые50 м2 площади помещения. ;В. Не менее двух. ;Г. Не менее одного на каждые три постоянных рабочих места. ;3
49;Персонал, допускаемый к эксплуатации медицинских стерилизаторов, проходит стажировку не менее…;А. …1-й рабочей смены.;Б. …4-х рабочих смен.;В. …2-х рабочих смен.;Г. …10-и рабочих смен.;2
50;Стерилизатор медицинский должен быть предъявлен к очередному техническому освидетельствованию не позднее срока, указанного в …;А. …графике проведения ППР оборудования.;Б. …его паспорте.;В. …приказе руководителя организации.;Г. …графике проведения технического освидетельствования стерилизаторов.;2
51;Какие средства индивидуальной защиты (СИЗ) необходимо использовать во время извлечения горячих флаконов из стерилизационной камеры или загрузочных тележек и емкостей с флаконами и размещении их на рабочем месте?;А. СИЗ лица.;Б. СИЗ лица и рук.;В. СИЗ рук. ;Г. СИЗ лица и органов дыхания.;2
52;Стерилизация флаконов с растворами проводится на стерилизаторах, которые…;А. …в соответствии с эксплуатационной документацией могут быть использованы для проведения данного вида работ.;Б. …имеют блокировку, исключающую их включение при выключенной вентиляции.;В. …установлены в изолированном помещении, отделенном от других помещений стерилизационной.;Г. …зарегистрированы в Госпромнадзоре. ;1
53;Загружаемые в стерилизатор для стерилизации флаконы с растворами должны быть размещены специальных загрузочных емкостях. Какой минимальный зазор допускается между флаконами в горизонтальной плоскости?;А. Величина зазора не регламентируется.;Б. 10 мм.;В. 1 мм.;Г. Зазор не допускается.;3
54;Как необходимо стравливать давление пара в стерилизационной камере после стерилизации флаконов с растворами?;А. Как можно быстрее, максимально открыв кран стравливания давления. ;Б. Плавно, за 1-5 минут, со скоростью не более 0,07 МПа за 3-4 минуты. ;В. В несколько этапов, на каждом из которых резко снижать давление, но не более чем на 0,05 МПа.;Г. Медленно, в течение 15-20 мин, со скоростью не более 0,02 МПа за 3-4 минуты.;4
55;Каковы первоочередные действия персонала по окончании цикла стерилизации и вакуумной просушки для паровыхстерилизаторов, оборудованных системой вакуумной просушки?;А. Проверить по показаниям приборов (манометра, мановакуумметра) отсутствие избыточного давления и разряжения в стерилизационной камере, после чего открыть двери и крышку.;Б. Ослабить зажимы (затвор) крепления дверей или крышки стерилизационной камеры, удостовериться в отсутствии вакуума. ;В. Открыть вентиль или кран, через который атмосферный воздух подается в стерилизационную камеру.;Г.Резко открыть двери или крышку стерилизационной камеры, не дожидаясь конденсации оставшегося в камере пара. ;3
56;Что может произойти при контакте холодного воздуха с нагретым до 120?С флаконом с раствором, извлекаемым из стерилизационной камеры?;А. Ничего страшного не должно происходить.;Б. Повышенное испарение раствора через стенки флакона. ;В. Химическое разложение вещества во флаконе. ;Г. Термический бой (разрыв) флакона.;4
57;Когда следует извлекать из стерилизационной камеры емкости с простерилизованным во флаконах раствором или сами флаконы?;А. Не позднее чем через 10 мин. после открытия крышки (дверей) стерилизационной камеры. ;Б. Не ранее чем через 1 час после открытия крышки (дверей) стерилизационной камеры. ;В. Не ранее чем через 20-30 минутпосле открытия крышки (дверей) стерилизационной камеры.;Г. Сразу послеоткрытия крышки (дверей) стерилизационной камеры. ;3
58;Почему открытую загрузочную емкость (кассету, корзину) перед извлечением из стерилизационной камеры необходимо накрыть полотенцем или салфеткой? ;А. С целью защиты от возможной травмы частицами стекла в случае «разрыва» флакона.;Б. Для увеличения срока нахождения флакона в нагретом состоянии с целью повышения качества стерилизации. ;В. Для исключения возникновения химических реакций во флаконе, инициированных ярким световым потоком. ;Г. Для дополнительной защиты наружной поверхности флаконов от пыли и возможных источников заражения. ;1
59;Что необходимо проверить после извлечения из стерилизационной камеры флаконов, содержащих простерилизованный раствор?;А. Прочность флаконов легким постукиванием.;Б. Отсутствие капель воды в камере, а также в выходном отверстии трубопровода с вентилем « Воздух, пар из камеры».;В. Отсутствие частиц стекла и разбитых флаконов в камере, а также отсутствие посторонних предметов (стекла, этикеток и т. п.) в выходном отверстии трубопровода с вентилем « Воздух, пар из камеры».;Г. Ничего проверять не требуется.;3
60;Что из указанного в вариантах ответа нельзя делать при стерилизации раствора во флаконах?;А. Использовать вакуумную систему подсушки. ;Б. Охлаждать флаконы в камере естественным путем при открытой крышке.;В. Использовать полотенце при извлечении флаконов.;Г. Нельзя все, что указано в других вариантах ответа. ;1
61;Загружаемые в стерилизатор для стерилизации флаконы с растворами должны быть размещены в специальных загрузочных емкостях. Какой минимальный зазор допускается между флаконами в вертикальной плоскости?;А. 1 мм.;Б. Зазор не допускается.;В. Величина зазора не регламентируется.;Г. 5 мм.;4
62;Каковы действия персонала по окончании стерилизации после снижения давления в стерилизационной камере до атмосферного для паровых стерилизаторов, не оборудованных системой вакуумной просушки простерилизованных объектов?;А. Ослабить зажимы (затвор) крепления дверей или крышки стерилизационной камеры, удостовериться в отсутствии избыточного давления, после чего слегка приоткрыть камеру на 10-15 минут для полного удаления оставшегося пара. Далее открыть крышку полностью. Извлекать простерилизованные объекты спустя 20-30 минут после открытия дверей (крышки).;Б. Открыть двери (крышку) стерилизационной камеры на 20-30 минут, после чего приступить к извлечению простерилизованных объектов.;В. Открыть двери (крышку) стерилизационной камеры на 10-15 минут, после чего приступить к извлечению простерилизованных объектов.;Г. Ослабить зажимы (затвор) крепления дверей или крышки стерилизационной камеры, удостовериться в отсутствии избыточного давления, после чего полностью открыть двери (крышку) и спустя 20-30 минут приступить к извлечению простерилизованных объектов.;1
63;Что необходимо делать в стерилизационном помещении при температуре атмосферного воздуха ниже 18?С для снижения вероятности разрушения стерилизуемых флаконов с растворами?;А. Закрыть фрамуги и форточки перед открытием дверей или крышки стерилизационной камеры.;Б. Двери или крышку стерилизационной камеры открывать как можно медленней. ;В. Проветривать помещение перед открытием дверей или крышки стерилизационной камеры. ;Г.Открывать фрамуги и форточки перед открытием дверей или крышки стерилизационной камеры.;1
64;Извлечение из стерилизатора флаконов с простерилизованным раствором производится после снижения их температуры до…;А. ...65?С и ниже.;Б. ...95?С и ниже.;В. ...45?С и ниже.;Г. ...30?С и ниже.;1
65;Что из указанного в вариантах ответа нельзя допускать при извлечении горячих флаконов с раствором из стерилизационной камеры или загрузочных тележек и емкостей?;А. Ударов флаконов.;Б. Нельзя допускать все, что указано в других вариантах ответа. ;В. Резких рывков при перемещении флаконов.;Г. Сотрясений флаконов.;2
66;Как следует извлекать из стерилизационной камеры открытую загрузочную емкость (кассету) с флаконами, содержащими простерилизованный раствор?;А. Охладив загрузочную емкость водой.;Б. Обдувая загрузочную емкость потоком свежего воздуха.;В. Надев на руки электроизолирующие перчатки. ;Г. Накрыв загрузочную емкость полотенцем или 1-2 слойной салфеткой.;4
67;Перемещение простерилизованных флаконов с растворами к местам хранения (использования) производится при их температуре не ниже…;А. ...65?С. ;Б. ...30?С.;В. ...45?С.;Г. ...60?С.;2
68;Что из указанного в вариантах ответа запрещено при эксплуатации парового стерилизатора медицинского?;А. Загружать коробки со стерилизуемыми изделиями в стерилизационную камеру без защитной подкладки.;Б. Работать при неработающей системе приточно-вытяжной вентиляции.;В. Работать при недостаточном уровне воды в парогенераторе.;Г. Все, что указано в других вариантах ответа.;4
69;Разрешается ли эксплуатировать паровой стерилизатор при открытой двери электрошкафа управления стерилизатором?;А. Не разрешается.;Б. Разрешается по согласованию с электротехническим персоналом, осуществляющим обслуживание и ремонт электрооборудования стерилизационной. ;В. Разрешается только лицам, имеющим квалификационную группу по электробезопасности не ниже II.;Г. Разрешается, если перед электрошкафом на полу установлен электроизолирующий ковер.;1
70;Разрешается ли доливать воду в канистру (бачок) парогенератора парового стерилизатора во время его работы или при наличии в нем давления?;А. Разрешается во время работы, если давление отсутствует.;Б. Разрешается после нажатия накнопку «Сброс пара». ;В. Разрешается при открытой двери (крышке) стерилизационной камеры.;Г. Не разрешается. ;4
71;В каком положении должна оставаться дверь или крышка стерилизационной камеры парового стерилизатора после окончания рабочей смены до следующей смены?;А. Влюбом положении.;Б. В полностью открытом положении.;В. В приоткрытом положении.;Г. В закрытом положении. ;3
72;Кому из указанных ниже лиц разрешается входить в помещение, в котором находится паровой стерилизатор, во время его работы, кроме персонала, эксплуатирующего стерилизатор? а – руководителю организации и его заместителям. б – лицу, ответственному за техническое состояние стерилизаторов и лицу, ответственному за безопасную эксплуатацию стерилизаторов. в – медицинскому персоналу организации.;А. а, б;Б. Никому.;В. Только б.;Г. а, б, в.;3
73;Что из указанного ниже проверяется перед началом выполнения стерилизации на паровом стерилизаторе медицинском? а – доступные наружные поверхности парообразователя, стерилизационной камеры, трубопроводов, корпуса стерилизатора на предмет отсутствия внешних дефектов. б – крепление крышки или дверей стерилизационной камеры. в – поверхность пола под электроизолирующим ковром, уложенным перед стерилизатором, на предмет отсутствия влаги.;А. б, в.;Б. а, б.;В. а, в.;Г. а, б, в.;2
74;Перед началом выполнения стерилизации на паровом стерилизаторе медицинском осматриваются манометры, мановакуумметры. В каком положении должны находится стрелки этих приборов при осмотре?;А. Не далее одного деления шкалы от нулевой отметки.;Б. На отметке, соответствующей рабочему давлению.;В. На участке шкалы от нулевой отметки до красной черты.;Г. На нулевой отметке.;4
75;Допускается ли оставлять паровой стерилизатор медицинский без присмотра в рабочем состоянии?;А. Допускается при исправном предохранительном клапане.;Б. Не допускается.;В. Допускается, если стерилизатор оборудован устройством автоматического отключения по окончанию цикла стерилизации.;Г. Допускается в помещении, запираемом на замок.;2
76;Каким способом допускается ослаблять крепление элемента крышки или двери стерилизационной камеры при наличии в ней давления?;А. С использованием электроизолирующего инструмента.;Б. Медленно и плавно, находясь сзади двери (крышки), придерживая ее от случайного раскрытия.;В. Это не допускается делать ни какими способами.;Г. С использованием СИЗ защиты рук.;3
77;Какова особенность эксплуатации паровогостерилизатора, у которого неисправен или не отрегулирован предохранительный клапан?;А. В течение всего цикла стерилизации необходимо непрерывно контролировать давление по показаниям измерительных приборов. ;Б. Такой стерилизатор допускается заполнять стерилизуемым материалом не более чем на 50% вместимости стерилизационной камеры.;В. Такой стерилизатор нельзя эксплуатировать.;Г. Парогенератор такого стерилизатора допускается заполнять водой не более чем на 10 мм выше нижней отметки водомерного стекла.;3
78;Разрешается ли работать на паровом стерилизаторе при неисправной системе блокирования открытия двери стерилизационной камеры?;А. Разрешается после целевого инструктажа по дополнительным мерам безопасности.;Б. Разрешается с повышенной осторожностью.;В. Не разрешается.;Г. Разрешается, за исключением стерилизации флаконов с растворами.;3
79;Разрешается ли работать на паровом стерилизаторе при неисправном манометре и мановакуумметре?;А. Разрешается при исправном предохранительном клапане.;Б. Разрешается при условии проведения стерилизации на пониженных режимах.;В. Разрешается при наличии у стерилизатора исправнойсистемы светозвуковой сигнализации о недопустимости превышения давления.;Г. Не разрешается.;4
80;Разрешается ли открывать полностью или частично дверь или крышку стерилизационной камеры во время работы парового стерилизатора?;А. Разрешается, за исключением случаев проведения стерилизации флаконов с растворами.;Б. Разрешается только частично, придерживая руками от полного открытия.;В. Разрешается только с использованием СИЗ защиты от термических ожогов.;Г. Не разрешается.;4
81;Разрешается ли открывать наружный кожух парового стерилизатора, включенного в сеть?;А. Разрешается при исправном заземлении стерилизатора.;Б. Разрешается руками в электроизолирующих перчатках.;В. Не разрешается.;Г. Разрешается при отсутствии давления в стерилизационной камере и парогенераторе.;3
82;Разрешается ли работникам, эксплуатирующим паровой стерилизатор, перенастраивать предохранительный клапан или снимать с него контрольную пломбу?;А. Разрешается при явном несоответствии давления срабатывания предохранительного клапана показаниям измерительных приборов (когда клапан срабатывает, а стрелка манометра не доходит до красной черты).;Б. Разрешается, если у стерилизатора истек гарантийный срок службы, Установленный изготовителем или ремонтной организацией.;В. Разрешается с обязательной записью в журнале.;Г. Не разрешается.;4
